,Unnamed: 0,idx,Formation Energy,cif,Space group number
0,16,43,-2.159937017,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.85539578
_cell_length_b   5.78370274
_cell_length_c   5.45388571
_cell_angle_alpha   58.91774494
_cell_angle_beta   89.77474504
_cell_angle_gamma   89.60775323
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   77.13623650
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.70841965  0.26590373  0.84920365  1
  Li  Li1  1  0.20855631  0.76508267  0.34928337  1
  Mn  Mn2  1  0.70787525  0.76561973  0.84904370  1
  Mn  Mn3  1  0.20816067  0.26542165  0.34906332  1
  O  O4  1  0.70567898  0.49504826  0.35139451  1
  O  O5  1  0.21037091  0.53592992  0.84681332  1
  O  O6  1  0.71071778  0.03565101  0.34702991  1
  O  O7  1  0.20544543  -0.00463196  0.85122921  1
",2
1,2,75,-2.159548523,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.06623941
_cell_length_b   4.06364668
_cell_length_c   5.34147354
_cell_angle_alpha   67.68791756
_cell_angle_beta   67.66844767
_cell_angle_gamma   89.99215085
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   74.45035056
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.07114854  0.01901527  0.97616806  1
  Li  Li1  1  0.32036894  0.76829162  0.47775253  1
  Mn  Mn2  1  0.81961837  0.26774599  0.47888648  1
  Mn  Mn3  1  0.56935272  0.51771574  0.97913680  1
  O  O4  1  0.58238960  0.03085158  0.95296988  1
  O  O5  1  0.79551178  0.74372723  0.52709142  1
  O  O6  1  0.34306522  0.29127386  0.43187292  1
  O  O7  1  0.05615682  0.50470771  0.00543392  1
",44
2,9,53,-2.158632979,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.85806345
_cell_length_b   3.12245016
_cell_length_c   9.77137715
_cell_angle_alpha   86.46262947
_cell_angle_beta   90.20122591
_cell_angle_gamma   117.36807119
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   77.26311314
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.60295920  0.04806704  0.20496340  1
  Li  Li1  1  0.10182314  0.04560072  0.70501112  1
  Mn  Mn2  1  0.34979922  0.53856356  0.95578377  1
  Mn  Mn3  1  0.84707842  0.53848822  0.45548922  1
  O  O4  1  0.96542281  0.76502197  0.07172381  1
  O  O5  1  0.22951302  0.30789863  0.34007998  1
  O  O6  1  0.73270474  0.30833217  0.84017917  1
  O  O7  1  0.46254945  0.76553869  0.57159353  1
",1
3,6,51,-2.158103823,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.10572981
_cell_length_b   5.08533981
_cell_length_c   5.10226244
_cell_angle_alpha   78.84362018
_cell_angle_beta   78.60158067
_cell_angle_gamma   95.10336534
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   76.82066320
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.60069525  0.12986855  0.64956926  1
  Li  Li1  1  0.09881125  0.63001358  0.65004360  1
  Mn  Mn2  1  0.85389452  0.87938524  0.14876529  1
  Mn  Mn3  1  0.35373450  0.37925570  0.14898917  1
  O  O4  1  0.21370395  0.01532350  0.38062480  1
  O  O5  1  -0.00374541  0.24272433  0.91626406  1
  O  O6  1  0.71422605  0.51524311  0.38035193  1
  O  O7  1  0.49639389  0.74273700  0.91606988  1
",1
4,1,49,-2.156622014,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.85608784
_cell_length_b   3.10716634
_cell_length_c   9.79047303
_cell_angle_alpha   93.45794287
_cell_angle_beta   90.19276304
_cell_angle_gamma   117.24369730
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   77.05810834
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.40346540  0.44390475  0.96639214  1
  Li  Li1  1  0.89854696  0.44185613  0.46631435  1
  Mn  Mn2  1  0.65398185  0.94742757  0.71664617  1
  Mn  Mn3  1  0.15384152  0.94710740  0.21650890  1
  O  O4  1  0.26686093  0.17563321  0.60089635  1
  O  O5  1  0.04207268  0.72137444  0.83277559  1
  O  O6  1  0.76683109  0.17494896  0.10082591  1
  O  O7  1  0.54164656  0.72093754  0.33280358  1
",1
5,15,42,-2.153780022,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.23038630
_cell_length_b   4.21411179
_cell_length_c   5.14916337
_cell_angle_alpha   65.93416502
_cell_angle_beta   65.73004501
_cell_angle_gamma   89.98707255
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   74.84792322
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.09631165  0.64279736  0.34652735  1
  Li  Li1  1  0.84597764  0.89228176  0.84602435  1
  Mn  Mn2  1  0.59313132  0.13967343  0.35198775  1
  Mn  Mn3  1  0.34295564  0.39001205  0.85257915  1
  O  O4  1  0.82341840  0.36858163  0.89142978  1
  O  O5  1  0.57337890  0.61985233  0.39146531  1
  O  O6  1  0.36271519  0.90891569  0.81361136  1
  O  O7  1  0.11205225  0.15979776  0.31403095  1
",8
6,5,8,-2.15274103,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.21760892
_cell_length_b   4.22988773
_cell_length_c   5.14675629
_cell_angle_alpha   114.20300857
_cell_angle_beta   114.12179746
_cell_angle_gamma   90.08575394
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   74.84183268
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.47092906  0.24158289  0.17644471  1
  Li  Li1  1  0.72226406  0.99355122  0.67989084  1
  Mn  Mn2  1  0.97214115  0.74308924  0.17926284  1
  Mn  Mn3  1  0.22174225  0.49287400  0.67858142  1
  O  O4  1  0.45301155  0.72432877  0.14124700  1
  O  O5  1  0.74068784  0.51157153  0.71638554  1
  O  O6  1  0.20318995  0.97433815  0.64168626  1
  O  O7  1  0.99035914  0.26144520  0.21576438  1
",74
7,23,65,-2.152260621,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.19812899
_cell_length_b   4.25071917
_cell_length_c   5.14855378
_cell_angle_alpha   65.64424246
_cell_angle_beta   65.97034269
_cell_angle_gamma   90.04444535
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   74.85773394
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.29523359  0.72067375  0.60237488  1
  Li  Li1  1  0.54608212  0.47239235  0.09969459  1
  Mn  Mn2  1  0.79580322  0.22124644  0.60034513  1
  Mn  Mn3  1  0.04540499  0.97085046  0.10199265  1
  O  O4  1  0.56505982  0.98997457  0.06273677  1
  O  O5  1  0.81472908  0.73968924  0.56302866  1
  O  O6  1  0.02679915  0.45215261  0.13929193  1
  O  O7  1  0.27652703  0.20174558  0.63953438  1
",74
8,3,83,-2.151869985,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.84592507
_cell_length_b   3.08321154
_cell_length_c   10.13613021
_cell_angle_alpha   99.86996835
_cell_angle_beta   74.89208594
_cell_angle_gamma   116.42105754
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   76.73917450
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.21239108  0.69915512  0.19929122  1
  Li  Li1  1  0.20795105  0.70179281  0.69966073  1
  Mn  Mn2  1  0.69846291  0.18613241  0.44860746  1
  Mn  Mn3  1  0.69819549  0.18532768  0.94864447  1
  O  O4  1  0.97501502  0.95345710  0.56392069  1
  O  O5  1  0.41977415  0.41091687  0.33167505  1
  O  O6  1  0.41917288  0.41055658  0.83167723  1
  O  O7  1  0.97503943  0.95215044  0.06401315  1
",1
9,28,79,-2.151717087,"# generated using pymatgen
data_LiMnO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.09087550
_cell_length_b   2.86124729
_cell_length_c   9.79284847
_cell_angle_alpha   89.96598041
_cell_angle_beta   93.72684667
_cell_angle_gamma   62.52799789
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnO2
_chemical_formula_sum   'Li2 Mn2 O4'
_cell_volume   76.63138814
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.10627526  0.66481753  0.48589619  1
  Li  Li1  1  0.11949147  0.15756689  0.98626709  1
  Mn  Mn2  1  0.61567801  0.40924481  0.23602611  1
  Mn  Mn3  1  0.61354409  0.91129874  0.73629271  1
  O  O4  1  0.84075463  0.29762305  0.62032143  1
  O  O5  1  0.84075132  0.79701856  0.11993079  1
  O  O6  1  0.38689423  0.52328875  0.85216690  1
  O  O7  1  0.39114399  0.02199466  0.35222178  1
",8
