,Unnamed: 0,idx,Formation Energy,cif,Space group number
0,19,82,-2.479650107,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.02180840
_cell_length_b   4.51197194
_cell_length_c   4.52948601
_cell_angle_alpha   89.98837591
_cell_angle_beta   89.97917556
_cell_angle_gamma   89.97353172
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   61.75642574
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.58347860  0.68761524  0.67410705  1
  V  V1  1  0.08352260  0.18765448  0.17407546  1
  O  O2  1  0.58344022  0.38982560  -0.02613235  1
  O  O3  1  0.08355003  0.89021201  0.87257663  1
  O  O4  1  0.08354234  0.48652597  0.47389172  1
  O  O5  1  0.58366221  -0.01380530  0.37280149  1
",31
1,22,88,-2.476178648,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.03726604
_cell_length_b   4.51826179
_cell_length_c   4.49286740
_cell_angle_alpha   90.15949270
_cell_angle_beta   90.40820969
_cell_angle_gamma   90.24754409
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   61.65396761
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.97598384  0.97170356  0.76203781  1
  V  V1  1  0.47728031  0.47171008  0.26204520  1
  O  O2  1  0.47500868  0.17152218  0.56024593  1
  O  O3  1  0.47628616  0.77257603  0.96411104  1
  O  O4  1  0.97834879  0.67120461  0.46381693  1
  O  O5  1  0.97516322  0.27285654  0.06028909  1
",4
2,17,55,-2.475966085,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.04214388
_cell_length_b   4.50051744
_cell_length_c   4.50304813
_cell_angle_alpha   89.82226206
_cell_angle_beta   89.94206005
_cell_angle_gamma   90.03929940
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   61.65188705
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.04207471  0.65353743  0.05543533  1
  V  V1  1  0.54371766  0.15327845  0.55520385  1
  O  O2  1  0.04407882  0.35553801  0.35639546  1
  O  O3  1  0.04322943  0.95367783  0.75636596  1
  O  O4  1  0.54283510  0.85530893  0.25610071  1
  O  O5  1  0.54278029  0.45328135  0.85585069  1
",8
3,0,0,-2.471768783,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.04392442
_cell_length_b   4.45838942
_cell_length_c   4.54191374
_cell_angle_alpha   89.95821120
_cell_angle_beta   89.98782394
_cell_angle_gamma   89.95550860
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   61.63827701
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.55588057  0.65107633  0.68107555  1
  V  V1  1  0.05686604  0.15116716  0.18111577  1
  O  O2  1  0.05642382  0.44840032  0.48319924  1
  O  O3  1  0.05577599  0.85554690  0.87805100  1
  O  O4  1  0.55663319  0.94819510  0.37837430  1
  O  O5  1  0.55652039  0.35522118  0.98359214  1
",58
4,11,24,-2.471768783,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.04392442
_cell_length_b   4.45838942
_cell_length_c   4.54191374
_cell_angle_alpha   89.95821120
_cell_angle_beta   89.98782394
_cell_angle_gamma   89.95550860
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   61.63827701
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.55588057  0.65107633  0.68107555  1
  V  V1  1  0.05686604  0.15116716  0.18111577  1
  O  O2  1  0.05642382  0.44840032  0.48319924  1
  O  O3  1  0.05577599  0.85554690  0.87805100  1
  O  O4  1  0.55663319  0.94819510  0.37837430  1
  O  O5  1  0.55652039  0.35522118  0.98359214  1
",58
5,9,54,-2.46356008,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.68105278
_cell_length_b   3.90156383
_cell_length_c   5.52929014
_cell_angle_alpha   110.57859285
_cell_angle_beta   109.40815544
_cell_angle_gamma   89.99940098
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   69.50317380
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.27652953  0.35359605  0.56496459  1
  V  V1  1  0.51086280  0.08601830  0.03128195  1
  O  O2  1  0.33979817  0.89117928  0.64013693  1
  O  O3  1  0.75404568  0.30762684  0.47173139  1
  O  O4  1  0.49930378  0.54855370  0.95609288  1
  O  O5  1  0.08119904  0.13224684  0.12472425  1
",1
6,2,70,-2.463468105,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.68313711
_cell_length_b   3.90117567
_cell_length_c   5.52927510
_cell_angle_alpha   110.61533346
_cell_angle_beta   109.45191939
_cell_angle_gamma   89.97144697
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   69.49967460
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.75739143  0.87463509  0.32912959  1
  V  V1  1  0.52357203  0.14177843  0.86257206  1
  O  O2  1  0.58759222  0.67927871  0.93781278  1
  O  O3  1  0.32753408  0.92059638  0.42226971  1
  O  O4  1  0.00086488  0.09581306  0.76941101  1
  O  O5  1  0.74571034  0.33676733  0.25374586  1
",46
7,10,111,-2.463468105,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.68313711
_cell_length_b   3.90117567
_cell_length_c   5.52927510
_cell_angle_alpha   110.61533346
_cell_angle_beta   109.45191939
_cell_angle_gamma   89.97144697
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   69.49967460
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.75739143  0.87463509  0.32912959  1
  V  V1  1  0.52357203  0.14177843  0.86257206  1
  O  O2  1  0.58759222  0.67927871  0.93781278  1
  O  O3  1  0.32753408  0.92059638  0.42226971  1
  O  O4  1  0.00086488  0.09581306  0.76941101  1
  O  O5  1  0.74571034  0.33676733  0.25374586  1
",46
8,8,102,-2.462569513,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.69362833
_cell_length_b   3.89320385
_cell_length_c   5.51056963
_cell_angle_alpha   69.25802641
_cell_angle_beta   71.23436521
_cell_angle_gamma   89.95625278
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   69.59142110
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  -0.03583321  0.05400311  0.15364103  1
  V  V1  1  0.26072367  0.78824019  0.68744383  1
  O  O2  1  0.44765621  0.00671559  0.24679174  1
  O  O3  1  0.77732532  0.83534733  0.59411672  1
  O  O4  1  0.18320854  0.25044392  0.76246826  1
  O  O5  1  0.04180947  0.59181687  0.07854742  1
",2
9,25,110,-2.454017733,"# generated using pymatgen
data_VO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.67733667
_cell_length_b   3.89660337
_cell_length_c   5.51000380
_cell_angle_alpha   69.77988334
_cell_angle_beta   70.76165206
_cell_angle_gamma   90.06236895
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VO2
_chemical_formula_sum   'V2 O4'
_cell_volume   69.35890429
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.42557852  0.97342121  0.95195816  1
  V  V1  1  0.66051030  0.70278914  0.48540144  1
  O  O2  1  0.18335450  0.74846383  0.39230710  1
  O  O3  1  0.43789773  0.51064545  0.87634543  1
  O  O4  1  0.85595500  0.92761464  0.04544030  1
  O  O5  1  0.59619194  0.16558773  0.56090756  1
",1
